Tick: 001, Queue: 0, Busy Mask: 01, Served: 0/6
Tick: 002, Queue: 0, Busy Mask: 01, Served: 0/6
Tick: 003, Queue: 0, Busy Mask: 01, Served: 0/6
Tick: 004, Queue: 0, Busy Mask: 01, Served: 0/6
Tick: 005, Queue: 0, Busy Mask: 01, Served: 0/6
Tick: 006, Queue: 0, Busy Mask: 01, Served: 0/6
Tick: 007, Queue: 0, Busy Mask: 01, Served: 0/6
Tick: 008, Queue: 0, Busy Mask: 01, Served: 0/6
Tick: 009, Queue: 0, Busy Mask: 01, Served: 0/6
Tick: 010, Queue: 0, Busy Mask: 01, Served: 0/6
Tick: 011, Queue: 0, Busy Mask: 11, Served: 0/6
Tick: 012, Queue: 0, Busy Mask: 11, Served: 0/6
Tick: 013, Queue: 0, Busy Mask: 11, Served: 0/6
Tick: 014, Queue: 0, Busy Mask: 11, Served: 0/6
Tick: 015, Queue: 0, Busy Mask: 11, Served: 0/6
Tick: 016, Queue: 0, Busy Mask: 11, Served: 0/6
Tick: 017, Queue: 0, Busy Mask: 11, Served: 0/6
Tick: 018, Queue: 0, Busy Mask: 11, Served: 0/6
Tick: 019, Queue: 0, Busy Mask: 11, Served: 0/6
Tick: 020, Queue: 0, Busy Mask: 11, Served: 0/6
Tick: 021, Queue: 0, Busy Mask: 11, Served: 0/6
Tick: 022, Queue: 0, Busy Mask: 11, Served: 0/6
Tick: 023, Queue: 0, Busy Mask: 11, Served: 0/6
Tick: 024, Queue: 0, Busy Mask: 11, Served: 0/6
Tick: 025, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 026, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 027, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 028, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 029, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 030, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 031, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 032, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 033, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 034, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 035, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 036, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 037, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 038, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 039, Queue: 0, Busy Mask: 10, Served: 1/6
Tick: 040, Queue: 0, Busy Mask: 00, Served: 2/6
Tick: 041, Queue: 0, Busy Mask: 00, Served: 2/6
Tick: 042, Queue: 0, Busy Mask: 00, Served: 2/6
Tick: 043, Queue: 0, Busy Mask: 00, Served: 2/6
Tick: 044, Queue: 0, Busy Mask: 00, Served: 2/6
Tick: 045, Queue: 0, Busy Mask: 00, Served: 2/6
Tick: 046, Queue: 0, Busy Mask: 00, Served: 2/6
Tick: 047, Queue: 0, Busy Mask: 00, Served: 2/6
Tick: 048, Queue: 0, Busy Mask: 00, Served: 2/6
Tick: 049, Queue: 0, Busy Mask: 01, Served: 2/6
Tick: 050, Queue: 0, Busy Mask: 01, Served: 2/6
Tick: 051, Queue: 0, Busy Mask: 01, Served: 2/6
Tick: 052, Queue: 0, Busy Mask: 01, Served: 2/6
Tick: 053, Queue: 0, Busy Mask: 01, Served: 2/6
Tick: 054, Queue: 0, Busy Mask: 01, Served: 2/6
Tick: 055, Queue: 0, Busy Mask: 01, Served: 2/6
Tick: 056, Queue: 0, Busy Mask: 11, Served: 2/6
Tick: 057, Queue: 0, Busy Mask: 11, Served: 2/6
Tick: 058, Queue: 0, Busy Mask: 11, Served: 2/6
Tick: 059, Queue: 0, Busy Mask: 11, Served: 2/6
Tick: 060, Queue: 0, Busy Mask: 11, Served: 2/6
Tick: 061, Queue: 0, Busy Mask: 11, Served: 2/6
Tick: 062, Queue: 0, Busy Mask: 11, Served: 2/6
Tick: 063, Queue: 0, Busy Mask: 11, Served: 2/6
Tick: 064, Queue: 0, Busy Mask: 11, Served: 2/6
Tick: 065, Queue: 0, Busy Mask: 11, Served: 2/6
Tick: 066, Queue: 1, Busy Mask: 11, Served: 2/6
Tick: 067, Queue: 1, Busy Mask: 11, Served: 2/6
Tick: 068, Queue: 1, Busy Mask: 11, Served: 2/6
Tick: 069, Queue: 1, Busy Mask: 11, Served: 2/6
Tick: 070, Queue: 1, Busy Mask: 10, Served: 3/6
Tick: 071, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 072, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 073, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 074, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 075, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 076, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 077, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 078, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 079, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 080, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 081, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 082, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 083, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 084, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 085, Queue: 0, Busy Mask: 11, Served: 3/6
Tick: 086, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 087, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 088, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 089, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 090, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 091, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 092, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 093, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 094, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 095, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 096, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 097, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 098, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 099, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 100, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 101, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 102, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 103, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 104, Queue: 1, Busy Mask: 11, Served: 3/6
Tick: 105, Queue: 1, Busy Mask: 01, Served: 4/6
Tick: 106, Queue: 0, Busy Mask: 11, Served: 4/6
Tick: 107, Queue: 0, Busy Mask: 11, Served: 4/6
Tick: 108, Queue: 0, Busy Mask: 11, Served: 4/6
Tick: 109, Queue: 0, Busy Mask: 11, Served: 4/6
Tick: 110, Queue: 0, Busy Mask: 11, Served: 4/6
Tick: 111, Queue: 0, Busy Mask: 11, Served: 4/6
Tick: 112, Queue: 0, Busy Mask: 11, Served: 4/6
Tick: 113, Queue: 0, Busy Mask: 11, Served: 4/6
Tick: 114, Queue: 0, Busy Mask: 11, Served: 4/6
Tick: 115, Queue: 0, Busy Mask: 10, Served: 5/6
Tick: 116, Queue: 0, Busy Mask: 10, Served: 5/6
Tick: 117, Queue: 0, Busy Mask: 10, Served: 5/6
Tick: 118, Queue: 0, Busy Mask: 10, Served: 5/6
Tick: 119, Queue: 0, Busy Mask: 10, Served: 5/6
Tick: 120, Queue: 0, Busy Mask: 00, Served: 6/6
Departure Times: [25, 30, 22, 50, 50, 35]
Waiting Times: [0, 0, 0, 0, 5, 20]
Average Waiting Time:  4.166666666666667
Avg Queue Length: 0.20833333333333334
Idle Time: [28, 25]
