Tick: 001, Queue: 0, Busy: 1, Served: 0/8
Tick: 002, Queue: 0, Busy: 1, Served: 0/8
Tick: 003, Queue: 0, Busy: 1, Served: 0/8
Tick: 004, Queue: 0, Busy: 1, Served: 0/8
Tick: 005, Queue: 0, Busy: 1, Served: 0/8
Tick: 006, Queue: 0, Busy: 1, Served: 0/8
Tick: 007, Queue: 0, Busy: 1, Served: 0/8
Tick: 008, Queue: 0, Busy: 1, Served: 0/8
Tick: 009, Queue: 0, Busy: 1, Served: 0/8
Tick: 010, Queue: 1, Busy: 1, Served: 0/8
Tick: 011, Queue: 1, Busy: 1, Served: 0/8
Tick: 012, Queue: 1, Busy: 1, Served: 0/8
Tick: 013, Queue: 1, Busy: 1, Served: 0/8
Tick: 014, Queue: 1, Busy: 1, Served: 0/8
Tick: 015, Queue: 1, Busy: 1, Served: 0/8
Tick: 016, Queue: 1, Busy: 1, Served: 0/8
Tick: 017, Queue: 1, Busy: 1, Served: 0/8
Tick: 018, Queue: 1, Busy: 1, Served: 0/8
Tick: 019, Queue: 1, Busy: 1, Served: 0/8
Tick: 020, Queue: 1, Busy: 0, Served: 1/8
Tick: 021, Queue: 0, Busy: 1, Served: 1/8
Tick: 022, Queue: 0, Busy: 1, Served: 1/8
Tick: 023, Queue: 0, Busy: 1, Served: 1/8
Tick: 024, Queue: 0, Busy: 1, Served: 1/8
Tick: 025, Queue: 1, Busy: 1, Served: 1/8
Tick: 026, Queue: 1, Busy: 1, Served: 1/8
Tick: 027, Queue: 1, Busy: 1, Served: 1/8
Tick: 028, Queue: 1, Busy: 1, Served: 1/8
Tick: 029, Queue: 1, Busy: 1, Served: 1/8
Tick: 030, Queue: 1, Busy: 1, Served: 1/8
Tick: 031, Queue: 1, Busy: 1, Served: 1/8
Tick: 032, Queue: 1, Busy: 1, Served: 1/8
Tick: 033, Queue: 1, Busy: 1, Served: 1/8
Tick: 034, Queue: 1, Busy: 1, Served: 1/8
Tick: 035, Queue: 1, Busy: 0, Served: 2/8
Tick: 036, Queue: 0, Busy: 1, Served: 2/8
Tick: 037, Queue: 0, Busy: 1, Served: 2/8
Tick: 038, Queue: 0, Busy: 1, Served: 2/8
Tick: 039, Queue: 0, Busy: 1, Served: 2/8
Tick: 040, Queue: 0, Busy: 1, Served: 2/8
Tick: 041, Queue: 0, Busy: 1, Served: 2/8
Tick: 042, Queue: 0, Busy: 1, Served: 2/8
Tick: 043, Queue: 0, Busy: 1, Served: 2/8
Tick: 044, Queue: 0, Busy: 1, Served: 2/8
Tick: 045, Queue: 0, Busy: 0, Served: 3/8
Tick: 046, Queue: 0, Busy: 0, Served: 3/8
Tick: 047, Queue: 0, Busy: 0, Served: 3/8
Tick: 048, Queue: 0, Busy: 0, Served: 3/8
Tick: 049, Queue: 0, Busy: 0, Served: 3/8
Tick: 050, Queue: 0, Busy: 0, Served: 3/8
Tick: 051, Queue: 0, Busy: 0, Served: 3/8
Tick: 052, Queue: 0, Busy: 0, Served: 3/8
Tick: 053, Queue: 0, Busy: 0, Served: 3/8
Tick: 054, Queue: 0, Busy: 0, Served: 3/8
Tick: 055, Queue: 0, Busy: 0, Served: 3/8
Tick: 056, Queue: 0, Busy: 0, Served: 3/8
Tick: 057, Queue: 0, Busy: 0, Served: 3/8
Tick: 058, Queue: 0, Busy: 0, Served: 3/8
Tick: 059, Queue: 0, Busy: 0, Served: 3/8
Tick: 060, Queue: 1, Busy: 0, Served: 3/8
Tick: 061, Queue: 0, Busy: 1, Served: 3/8
Tick: 062, Queue: 0, Busy: 1, Served: 3/8
Tick: 063, Queue: 0, Busy: 1, Served: 3/8
Tick: 064, Queue: 0, Busy: 1, Served: 3/8
Tick: 065, Queue: 0, Busy: 0, Served: 4/8
Tick: 066, Queue: 0, Busy: 0, Served: 4/8
Tick: 067, Queue: 0, Busy: 0, Served: 4/8
Tick: 068, Queue: 0, Busy: 0, Served: 4/8
Tick: 069, Queue: 0, Busy: 0, Served: 4/8
Tick: 070, Queue: 0, Busy: 0, Served: 4/8
Tick: 071, Queue: 0, Busy: 0, Served: 4/8
Tick: 072, Queue: 0, Busy: 0, Served: 4/8
Tick: 073, Queue: 0, Busy: 0, Served: 4/8
Tick: 074, Queue: 0, Busy: 0, Served: 4/8
Tick: 075, Queue: 0, Busy: 0, Served: 4/8
Tick: 076, Queue: 0, Busy: 0, Served: 4/8
Tick: 077, Queue: 0, Busy: 0, Served: 4/8
Tick: 078, Queue: 0, Busy: 0, Served: 4/8
Tick: 079, Queue: 0, Busy: 0, Served: 4/8
Tick: 080, Queue: 0, Busy: 0, Served: 4/8
Tick: 081, Queue: 0, Busy: 0, Served: 4/8
Tick: 082, Queue: 0, Busy: 0, Served: 4/8
Tick: 083, Queue: 0, Busy: 0, Served: 4/8
Tick: 084, Queue: 0, Busy: 0, Served: 4/8
Tick: 085, Queue: 0, Busy: 0, Served: 4/8
Tick: 086, Queue: 0, Busy: 0, Served: 4/8
Tick: 087, Queue: 0, Busy: 0, Served: 4/8
Tick: 088, Queue: 0, Busy: 0, Served: 4/8
Tick: 089, Queue: 0, Busy: 0, Served: 4/8
Tick: 090, Queue: 1, Busy: 0, Served: 4/8
Tick: 091, Queue: 0, Busy: 1, Served: 4/8
Tick: 092, Queue: 0, Busy: 1, Served: 4/8
Tick: 093, Queue: 0, Busy: 1, Served: 4/8
Tick: 094, Queue: 0, Busy: 1, Served: 4/8
Tick: 095, Queue: 0, Busy: 1, Served: 4/8
Tick: 096, Queue: 0, Busy: 1, Served: 4/8
Tick: 097, Queue: 0, Busy: 1, Served: 4/8
Tick: 098, Queue: 0, Busy: 1, Served: 4/8
Tick: 099, Queue: 0, Busy: 1, Served: 4/8
Tick: 100, Queue: 1, Busy: 1, Served: 4/8
Tick: 101, Queue: 1, Busy: 1, Served: 4/8
Tick: 102, Queue: 1, Busy: 1, Served: 4/8
Tick: 103, Queue: 1, Busy: 1, Served: 4/8
Tick: 104, Queue: 1, Busy: 1, Served: 4/8
Tick: 105, Queue: 2, Busy: 0, Served: 5/8
Tick: 106, Queue: 1, Busy: 1, Served: 5/8
Tick: 107, Queue: 1, Busy: 1, Served: 5/8
Tick: 108, Queue: 1, Busy: 1, Served: 5/8
Tick: 109, Queue: 2, Busy: 1, Served: 5/8
Tick: 110, Queue: 2, Busy: 1, Served: 5/8
Tick: 111, Queue: 2, Busy: 1, Served: 5/8
Tick: 112, Queue: 2, Busy: 1, Served: 5/8
Tick: 113, Queue: 2, Busy: 1, Served: 5/8
Tick: 114, Queue: 2, Busy: 1, Served: 5/8
Tick: 115, Queue: 2, Busy: 1, Served: 5/8
Tick: 116, Queue: 2, Busy: 1, Served: 5/8
Tick: 117, Queue: 2, Busy: 1, Served: 5/8
Tick: 118, Queue: 2, Busy: 1, Served: 5/8
Tick: 119, Queue: 2, Busy: 1, Served: 5/8
Tick: 120, Queue: 2, Busy: 0, Served: 6/8
Tick: 121, Queue: 1, Busy: 1, Served: 6/8
Tick: 122, Queue: 1, Busy: 1, Served: 6/8
